STN;YYYYMMDD;TG;TN;TX;DR;RH
;;;;;;
260;20110101;35;-3;59;15;6
260;20110102;23;-7;53;0;-1
260;20110103;7;-36;36;4;1
260;20110104;9;-1;24;0;-1
260;20110105;3;-15;35;14;5
260;20110106;44;33;52;168;155
260;20110107;47;-5;92;16;5
260;20110108;88;49;120;46;48
260;20110109;38;10;67;0;0
260;20110110;9;-25;49;0;0
260;20110111;32;-3;62;43;21
260;20110112;57;29;85;136;105
260;20110113;95;83;106;123;125
260;20110114;99;75;116;174;193
260;20110115;89;70;100;0;-1
260;20110116;97;80;125;0;0
260;20110117;81;50;96;14;5
260;20110118;44;19;61;63;108
260;20110119;36;14;66;13;16
260;20110120;20;-28;50;0;-1
260;20110121;9;-38;37;0;-1
260;20110122;45;22;61;9;3
260;20110123;51;23;66;10;3
260;20110124;55;45;68;33;14
260;20110125;47;7;69;46;54
260;20110126;13;-4;40;0;-1
260;20110127;-1;-31;14;0;0
260;20110128;-24;-49;11;0;0
260;20110129;-30;-56;6;0;0
260;20110130;-14;-53;14;0;0
260;20110131;-13;-29;-1;0;0
260;20110201;-7;-33;24;11;9
260;20110202;35;22;45;10;12
260;20110203;56;39;80;23;20
260;20110204;91;65;104;30;6
260;20110205;108;103;116;0;0
260;20110206;100;84;113;0;0
260;20110207;84;71;104;0;0
260;20110208;43;-28;92;0;0
260;20110209;30;-37;94;0;0
260;20110210;75;36;104;79;91
260;20110211;78;47;95;54;21
260;20110212;55;31;85;97;124
260;20110213;62;34;81;0;0
260;20110214;63;44;82;32;11
260;20110215;59;35;79;5;6
260;20110216;63;20;104;6;2
260;20110217;38;6;101;0;0
260;20110218;10;4;15;0;0
260;20110219;21;6;50;0;0
260;20110220;3;-24;27;0;0
260;20110221;-19;-46;21;0;0
260;20110222;-20;-64;25;0;0
260;20110223;4;-23;37;76;38
260;20110224;42;9;68;39;13
260;20110225;68;51;81;3;1
260;20110226;73;60;95;90;68
260;20110227;43;13;62;186;196
260;20110228;24;10;34;37;14
260;20110301;25;12;41;0;0
260;20110302;19;-14;64;0;0
260;20110303;6;-25;60;0;0
260;20110304;-2;-37;47;0;0
260;20110305;26;-7;61;0;0
260;20110306;19;-28;67;0;0
260;20110307;20;-29;79;0;0
260;20110308;46;-13;110;0;0
260;20110309;67;43;101;13;12
260;20110310;77;43;103;1;1
260;20110311;67;10;106;0;-1
260;20110312;85;7;127;0;-1
260;20110313;106;91;131;30;13
260;20110314;107;83;138;30;29
260;20110315;113;79;164;0;0
260;20110316;72;47;119;0;0
260;20110317;57;45;84;0;-1
260;20110318;64;45;95;78;113
260;20110319;41;-17;102;0;0
260;20110320;38;-28;118;0;0
260;20110321;59;-29;143;0;0
260;20110322;78;-12;162;0;0
260;20110323;83;25;150;0;0
260;20110324;90;0;166;0;0
260;20110325;92;36;148;0;0
260;20110326;48;7;80;0;-1
260;20110327;62;-6;129;0;0
260;20110328;47;-19;102;0;0
260;20110329;60;-25;146;0;0
260;20110330;90;3;154;11;18
260;20110331;113;92;140;50;55
260;20110401;126;99;161;0;0
260;20110402;153;90;232;1;1
260;20110403;118;92;153;7;15
260;20110404;103;82;141;0;0
260;20110405;99;70;119;0;-1
260;20110406;144;103;208;0;0
260;20110407;122;60;164;0;0
260;20110408;100;35;163;0;0
260;20110409;104;56;162;0;0
260;20110410;112;44;187;0;0
260;20110411;128;45;220;22;49
260;20110412;84;56;112;7;7
260;20110413;82;12;132;0;0
260;20110414;85;14;126;0;0
260;20110415;103;22;163;0;0
260;20110416;104;24;169;0;-1
260;20110417;125;76;179;0;0
260;20110418;126;30;188;0;0
260;20110419;152;75;238;0;0
260;20110420;155;56;246;0;0
260;20110421;164;63;250;0;0
260;20110422;182;92;263;0;0
260;20110423;189;99;263;0;0
260;20110424;178;89;260;0;0
260;20110425;167;78;239;0;0
260;20110426;142;71;212;0;0
260;20110427;124;94;157;0;-1
260;20110428;141;109;190;10;10
260;20110429;168;101;229;0;-1
260;20110430;155;98;214;0;0
260;20110501;129;69;185;0;0
260;20110502;98;53;148;0;0
260;20110503;82;22;141;0;0
260;20110504;80;3;141;0;0
260;20110505;106;0;184;0;0
260;20110506;150;51;223;0;0
260;20110507;203;109;278;0;0
260;20110508;213;158;269;0;-1
260;20110509;163;110;204;6;4
260;20110510;165;101;232;25;49
260;20110511;150;90;209;0;0
260;20110512;131;83;174;0;0
260;20110513;136;80;187;0;0
260;20110514;120;74;155;0;-1
