STN;YYYYMMDD;FG;FXX;TG;TN;TX;DR;RH
260;20110101;26;70;35;-3;59;15;6
260;20110102;22;60;23;-7;53;0;-1
260;20110103;20;60;7;-36;36;4;1
260;20110104;44;90;9;-1;24;0;-1
260;20110105;53;100;3;-15;35;14;5
260;20110106;30;90;44;33;52;168;155
260;20110107;32;80;47;-5;92;16;5
260;20110108;56;160;88;49;120;46;48
260;20110109;39;90;38;10;67;0;0
260;20110110;32;80;9;-25;49;0;0
260;20110111;52;130;32;-3;62;43;21
260;20110112;38;90;57;29;85;136;105
260;20110113;43;110;95;83;106;123;125
260;20110114;59;140;99;75;116;174;193
260;20110115;61;120;89;70;100;0;-1
260;20110116;50;110;97;80;125;0;0
260;20110117;38;110;81;50;96;14;5
260;20110118;19;70;44;19;61;63;108
260;20110119;23;90;36;14;66;13;16
260;20110120;29;90;20;-28;50;0;-1
260;20110121;15;50;9;-38;37;0;-1
260;20110122;32;90;45;22;61;9;3
260;20110123;33;90;51;23;66;10;3
260;20110124;31;80;55;45;68;33;14
260;20110125;41;120;47;7;69;46;54
260;20110126;25;80;13;-4;40;0;-1
260;20110127;45;100;-1;-31;14;0;0
260;20110128;33;80;-24;-49;11;0;0
260;20110129;28;80;-30;-56;6;0;0
260;20110130;29;70;-14;-53;14;0;0
260;20110131;18;40;-13;-29;-1;0;0
260;20110201;37;80;-7;-33;24;11;9
260;20110202;50;130;35;22;45;10;12
260;20110203;50;140;56;39;80;23;20
260;20110204;99;210;91;65;104;30;6
260;20110205;106;230;108;103;116;0;0
260;20110206;87;190;100;84;113;0;0
260;20110207;68;160;84;71;104;0;0
260;20110208;22;70;43;-28;92;0;0
260;20110209;26;60;30;-37;94;0;0
260;20110210;37;90;75;36;104;79;91
260;20110211;30;80;78;47;95;54;21
260;20110212;41;90;55;31;85;97;124
260;20110213;39;80;62;34;81;0;0
260;20110214;30;70;63;44;82;32;11
260;20110215;37;90;59;35;79;5;6
260;20110216;29;60;63;20;104;6;2
260;20110217;35;90;38;6;101;0;0
260;20110218;35;80;10;4;15;0;0
260;20110219;53;110;21;6;50;0;0
260;20110220;56;110;3;-24;27;0;0
260;20110221;45;90;-19;-46;21;0;0
260;20110222;33;70;-20;-64;25;0;0
260;20110223;44;100;4;-23;37;76;38
260;20110224;24;80;42;9;68;39;13
260;20110225;30;70;68;51;81;3;1
260;20110226;40;100;73;60;95;90;68
260;20110227;50;150;43;13;62;186;196
260;20110228;27;50;24;10;34;37;14
260;20110301;44;110;25;12;41;0;0
260;20110302;44;90;19;-14;64;0;0
260;20110303;41;90;6;-25;60;0;0
260;20110304;28;80;-2;-37;47;0;0
260;20110305;20;70;26;-7;61;0;0
260;20110306;32;90;19;-28;67;0;0
260;20110307;34;80;20;-29;79;0;0
260;20110308;37;100;46;-13;110;0;0
260;20110309;52;120;67;43;101;13;12
260;20110310;69;170;77;43;103;1;1
260;20110311;38;110;67;10;106;0;-1
260;20110312;32;80;85;7;127;0;-1
260;20110313;30;70;106;91;131;30;13
260;20110314;17;50;107;83;138;30;29
260;20110315;53;110;113;79;164;0;0
260;20110316;53;110;72;47;119;0;0
260;20110317;30;70;57;45;84;0;-1
260;20110318;25;70;64;45;95;78;113
260;20110319;21;70;41;-17;102;0;0
260;20110320;13;50;38;-28;118;0;0
260;20110321;17;60;59;-29;143;0;0
260;20110322;18;60;78;-12;162;0;0
260;20110323;20;50;83;25;150;0;0
260;20110324;17;60;90;0;166;0;0
260;20110325;21;60;92;36;148;0;0
260;20110326;23;60;48;7;80;0;-1
260;20110327;25;60;62;-6;129;0;0
260;20110328;17;60;47;-19;102;0;0
260;20110329;15;60;60;-25;146;0;0
260;20110330;29;100;90;3;154;11;18
260;20110331;58;150;113;92;140;50;55
260;20110401;48;140;126;99;161;0;0
260;20110402;39;100;153;90;232;1;1
260;20110403;24;70;118;92;153;7;15
260;20110404;43;120;103;82;141;0;0
260;20110405;56;140;99;70;119;0;-1
260;20110406;38;100;144;103;208;0;0
260;20110407;32;90;122;60;164;0;0
260;20110408;25;80;100;35;163;0;0
260;20110409;29;70;104;56;162;0;0
260;20110410;25;60;112;44;187;0;0
260;20110411;26;130;128;45;220;22;49
260;20110412;47;130;84;56;112;7;7
260;20110413;28;90;82;12;132;0;0
260;20110414;13;40;85;14;126;0;0
260;20110415;13;60;103;22;163;0;0
260;20110416;14;70;104;24;169;0;-1
260;20110417;20;60;125;76;179;0;0
