,Year,Month,Day,Trains
0,2019,1,1,"
                1.008            "
1,2019,1,2,"
                1.008            "
2,2019,1,3,"
                1.008            "
3,2019,1,4,"
                1.008            "
4,2019,1,5,"
                1.008            "
5,2019,1,6,"
                1.008            "
6,2019,1,7,"
                1.008            "
7,2019,1,8,"
                1.008            "
8,2019,1,9,"
                1.008            "
9,2019,1,10,"
                1.008            "
