,Year,Month,Day,Trains
0,2019,1,1,802
1,2019,1,2,1011
2,2019,1,3,1010
3,2019,1,4,1017
4,2019,1,5,898
5,2019,1,6,817
6,2019,1,7,1000
7,2019,1,8,1008
8,2019,1,9,1008
9,2019,1,10,1008
10,2019,1,11,1015
11,2019,1,12,896
12,2019,1,13,815
13,2019,1,14,1000
14,2019,1,15,1009
15,2019,1,16,1008
16,2019,1,17,1016
17,2019,1,18,1022
18,2019,1,19,868
19,2019,1,20,801
20,2019,1,21,1002
21,2019,1,22,1064
22,2019,1,23,1008
23,2019,1,24,1008
24,2019,1,25,1015
25,2019,1,26,896
26,2019,1,27,815
27,2019,1,28,1000
28,2019,1,29,1008
29,2019,1,30,1049
30,2019,1,31,1009
31,2019,2,1,1015
32,2019,2,2,896
33,2019,2,3,815
34,2019,2,4,1000
35,2019,2,5,1008
36,2019,2,6,1008
37,2019,2,7,1009
38,2019,2,8,1015
39,2019,2,9,894
40,2019,2,10,816
41,2019,2,11,1000
42,2019,2,12,1009
43,2019,2,13,1008
44,2019,2,14,1008
45,2019,2,15,1017
46,2019,2,16,900
47,2019,2,17,815
48,2019,2,18,1008
49,2019,2,19,1008
50,2019,2,20,1008
51,2019,2,21,1011
52,2019,2,22,1019
53,2019,2,23,898
54,2019,2,24,823
55,2019,2,25,1008
56,2019,2,26,1007
57,2019,2,27,1006
58,2019,2,28,1011
59,2019,3,1,1013
60,2019,3,2,861
61,2019,3,3,782
62,2019,3,4,998
63,2019,3,5,1006
64,2019,3,6,1007
65,2019,3,7,1006
66,2019,3,8,1013
67,2019,3,9,885
68,2019,3,10,819
69,2019,3,11,999
70,2019,3,12,1006
71,2019,3,13,1006
72,2019,3,14,1006
73,2019,3,15,1013
74,2019,3,16,903
75,2019,3,17,835
76,2019,3,18,998
77,2019,3,19,1006
78,2019,3,20,1006
79,2019,3,21,1006
80,2019,3,22,1011
81,2019,3,23,893
82,2019,3,24,815
83,2019,3,25,1000
84,2019,3,26,1010
85,2019,3,27,1013
86,2019,3,28,1011
87,2019,3,29,1017
88,2019,3,30,901
89,2019,3,31,814
90,2019,4,1,996
91,2019,4,2,1005
92,2019,4,3,1010
93,2019,4,4,1010
94,2019,4,5,1018
95,2019,4,6,901
96,2019,4,7,827
97,2019,4,8,1002
98,2019,4,9,1010
99,2019,4,10,1010
100,2019,4,11,1009
101,2019,4,12,1016
102,2019,4,13,902
103,2019,4,14,820
104,2019,4,15,998
105,2019,4,16,1006
106,2019,4,17,1006
107,2019,4,18,1006
108,2019,4,19,1012
109,2019,4,20,955
110,2019,4,21,870
111,2019,4,22,869
112,2019,4,23,1006
113,2019,4,24,1006
114,2019,4,25,1006
115,2019,4,26,1019
116,2019,4,27,924
117,2019,4,28,814
118,2019,4,29,1006
119,2019,4,30,1006
120,2019,5,1,1006
121,2019,5,2,1006
122,2019,5,3,1014
123,2019,5,4,897
124,2019,5,5,815
125,2019,5,6,1001
126,2019,5,7,1009
127,2019,5,8,1008
128,2019,5,9,1010
129,2019,5,10,1015
130,2019,5,11,913
131,2019,5,12,828
132,2019,5,13,1001
133,2019,5,14,1008
134,2019,5,15,1008
135,2019,5,16,1008
136,2019,5,17,1013
137,2019,5,18,904
138,2019,5,19,824
139,2019,5,20,1001
140,2019,5,21,1008
141,2019,5,22,1009
142,2019,5,23,1008
143,2019,5,24,1014
144,2019,5,25,912
145,2019,5,26,836
146,2019,5,27,1000
147,2019,5,28,1006
148,2019,5,29,1008
149,2019,5,30,889
150,2019,5,31,1017
151,2019,6,1,906
152,2019,6,2,830
153,2019,6,3,1000
154,2019,6,4,1009
155,2019,6,5,1009
156,2019,6,6,1008
157,2019,6,7,1014
158,2019,6,8,910
159,2019,6,9,833
160,2019,6,10,888
161,2019,6,11,1009
162,2019,6,12,1009
163,2019,6,13,1009
164,2019,6,14,1015
165,2019,6,15,904
166,2019,6,16,823
167,2019,6,17,1000
168,2019,6,18,1009
169,2019,6,19,1009
170,2019,6,20,1009
171,2019,6,21,1020
172,2019,6,22,785
173,2019,6,23,778
174,2019,6,24,1000
175,2019,6,25,1008
176,2019,6,26,1007
177,2019,6,27,1006
178,2019,6,28,1011
179,2019,6,29,900
180,2019,6,30,756
181,2019,7,1,1015
182,2019,7,2,1009
183,2019,7,3,1009
184,2019,7,4,1008
185,2019,7,5,1015
186,2019,7,6,870
187,2019,7,7,770
188,2019,7,8,1008
189,2019,7,9,1008
190,2019,7,10,1009
191,2019,7,11,1009
192,2019,7,12,1015
193,2019,7,13,898
194,2019,7,14,815
195,2019,7,15,1007
196,2019,7,16,1010
197,2019,7,17,1010
198,2019,7,18,1010
199,2019,7,19,1022
200,2019,7,20,897
201,2019,7,21,814
202,2019,7,22,1008
203,2019,7,23,1009
204,2019,7,24,1009
205,2019,7,25,1008
206,2019,7,26,1014
207,2019,7,27,899
208,2019,7,28,361
209,2019,7,29,136
210,2019,7,30,1008
211,2019,7,31,1008
212,2019,8,1,1007
213,2019,8,2,1012
214,2019,8,3,936
215,2019,8,4,864
216,2019,8,5,1050
217,2019,8,6,1050
218,2019,8,7,1050
219,2019,8,8,1048
220,2019,8,9,1059
221,2019,8,10,939
222,2019,8,11,867
223,2019,8,12,1046
224,2019,8,13,1047
225,2019,8,14,1052
226,2019,8,15,1052
227,2019,8,16,1061
228,2019,8,17,939
229,2019,8,18,866
230,2019,8,19,1052
231,2019,8,20,1053
232,2019,8,21,1052
233,2019,8,22,1052
234,2019,8,23,1055
235,2019,8,24,934
236,2019,8,25,857
237,2019,8,26,1008
238,2019,8,27,1010
239,2019,8,28,1008
240,2019,8,29,1008
241,2019,8,30,1081
242,2019,8,31,958
243,2019,9,1,870
244,2019,9,2,1001
245,2019,9,3,1008
246,2019,9,4,1008
247,2019,9,5,1009
248,2019,9,6,1015
249,2019,9,7,902
250,2019,9,8,832
251,2019,9,9,1027
252,2019,9,10,1030
253,2019,9,11,1016
254,2019,9,12,1031
255,2019,9,13,1112
256,2019,9,14,779
257,2019,9,15,716
258,2019,9,16,1039
259,2019,9,17,1035
260,2019,9,18,1029
261,2019,9,19,1022
262,2019,9,20,1043
263,2019,9,21,900
264,2019,9,22,818
265,2019,9,23,1003
266,2019,9,24,1013
267,2019,9,25,1016
268,2019,9,26,1017
269,2019,9,27,1035
270,2019,9,28,1122
